OTINTThreshold 0x92A3
OTINTDelay 0x92A4
OTINTRecovery 0x92A5
UTCThreshold 0x92A6
UTCDelay 0x92A7
UTCRecovery 0x92A8
UTDThreshold 0x92A9
UTDDelay 0x92AA
UTDRecovery 0x92AB
UTINTThreshold 0x92AC
UTINTDelay 0x92AD
UTINTRecovery 0x92AE
ProtectionsRecoveryTime 0x92AF
HWDDelay 0x92B2
LoadDetectActiveTime 0x92B4
LoadDetectRetryDelay 0x92B5
LoadDetectTimeout 0x92B6
PTOChargeThreshold 0x92BA
PTODelay 0x92BC
PTOReset 0x92BE
CUDEPThreshold 0x92C8
CUDEPDelay 0x92CA
SUVThreshold 0x92CB
SUVDelay 0x92CD
SOVThreshold 0x92CE
SOVDelay 0x92D0
TOSSThreshold 0x92D1
TOSSDelay 0x92D3
SOCCThreshold 0x92D4
SOCCDelay 0x92D6
SOCDThreshold 0x92D7
SOCDDelay 0x92D9
SOTThreshold 0x92DA
SOTDelay 0x92DB
SOTFThreshold 0x92DC
SOTFDelay 0x92DD
VIMRCheckVoltage 0x92DE
VIMRMaxRelaxCurrent 0x92E0
VIMRThreshold 0x92E2
VIMRDelay 0x92E4
VIMRRelaxMinDuration 0x92E5
VIMACheckVoltage 0x92E7
VIMAMinActiveCurrent 0x92E9
VIMAThreshold 0x92EB
VIMADelay 0x92ED
CFETFOFFThreshold 0x92EE
CFETFOFFDelay 0x92F0
DFETFOFFThreshold 0x92F1
DFETFOFFDelay 0x92F3
VSSFFailThreshold 0x92F4
VSSFDelay 0x92F6
PF2LVLDelay 0x92F7
LFOFDelay 0x92F8
HWMXDelay 0x92F9
SecuritySettings 0x9256
UnsealKeyStep1 0x9257
UnsealKeyStep2 0x9259
FullAccessKeyStep1 0x925B
FullAccessKeyStep2 0x925D           // Security:Keys:Full Access Key Step 2
